pair_id,arm_id,case_id,condition,position_id,eligible,executed,category,action,attempts,retries,cost_total_usd,latency_total_ms,input_tokens,output_tokens
Connor|m23c-0514dd69f06c81fc61e5befcc3c0f3d3|C2|local-qwen2-5-coder-7b,Connor,m23c-0514dd69f06c81fc61e5befcc3c0f3d3,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0514dd69f06c81fc61e5befcc3c0f3d3|C2|local-qwen3-8b,Connor,m23c-0514dd69f06c81fc61e5befcc3c0f3d3,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0514dd69f06c81fc61e5befcc3c0f3d3|C2|remote-gpt-5-6-luna-openai,Connor,m23c-0514dd69f06c81fc61e5befcc3c0f3d3,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0514dd69f06c81fc61e5befcc3c0f3d3|C2|remote-gpt-oss-20b-groq,Connor,m23c-0514dd69f06c81fc61e5befcc3c0f3d3,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0514dd69f06c81fc61e5befcc3c0f3d3|C2|remote-qwen3-8b-alibaba,Connor,m23c-0514dd69f06c81fc61e5befcc3c0f3d3,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0c9653e4397ab6027069a81eaf315200|C2|local-qwen2-5-coder-7b,Connor,m23c-0c9653e4397ab6027069a81eaf315200,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0c9653e4397ab6027069a81eaf315200|C2|local-qwen3-8b,Connor,m23c-0c9653e4397ab6027069a81eaf315200,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0c9653e4397ab6027069a81eaf315200|C2|remote-gpt-5-6-luna-openai,Connor,m23c-0c9653e4397ab6027069a81eaf315200,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0c9653e4397ab6027069a81eaf315200|C2|remote-gpt-oss-20b-groq,Connor,m23c-0c9653e4397ab6027069a81eaf315200,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0c9653e4397ab6027069a81eaf315200|C2|remote-qwen3-8b-alibaba,Connor,m23c-0c9653e4397ab6027069a81eaf315200,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
